predicate;formula;frequency;closest_solution;solution_distance
this/inv14;(all ref0:(one Class),ref1:(one Person)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Person)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));6;(all ref0:(one Class),ref1:(one Student)|((some ref2:(one Group)|((ref0 -> (ref1 -> ref2)) in (Class <: Groups))) => (all ref3:(one Teacher)|(((ref3 -> ref0) in (Person <: Teaches)) => ((ref3 -> ref1) in (Person <: Tutors))))));8
this/inv11;(all ref0:(one Class)|((some (((Person <: Teaches) . ref0) & Teacher)) => ((ref0 -> (Person -> Group)) in (Class <: Groups))));6;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));13
this/inv6;(all ref0:(one Teacher)|(Class in (ref0 . (Person <: Teaches))));6;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));5
this/inv5;(some ref0:(one Class)|(some ((Person <: Teaches) . ref0)));5;(some (Teacher . (Person <: Teaches)));3
this/inv11;(all ref0:(one Class)|(some ((((Person <: Teaches) . ref0) & Teacher) + (Person - ((ref0 . (Class <: Groups)) . Group)))));5;(all ref0:(one Class)|((no ((Teacher <: (Person <: Teaches)) . ref0)) => (no (ref0 . (Class <: Groups)))));15
this/inv5;(some (Person . (Person <: Teaches)));5;(some (Teacher . (Person <: Teaches)));2
this/inv12;(all ref0:(one Teacher)|(some (ref0 . (Class . (Class <: Groups)))));5;(all ref0:(one Teacher)|(some ((ref0 <: (Person <: Teaches)) . (Class <: Groups))));6
this/inv3;(all ref0:(one Person)|((ref0 in Student) || (ref0 in Teacher)));5;(no ref0:(one Person)|((ref0 in Student) && (ref0 in Teacher)));4
this/inv11;(all ref0:(one Class)|(some (Teacher . (ref0 . (Class <: Groups)))));5;(no ((Class - (Teacher . (Person <: Teaches))) . (Class <: Groups)));9
this/inv12;(all ref0:(one Teacher)|((some (ref0 . (Person <: Teaches))) && (some (ref0 . (Class . (Class <: Groups))))));5;(all ref0:(one Teacher)|(some ((ref0 <: (Person <: Teaches)) . (Class <: Groups))));11
this/inv10;(((Class . (Class <: Groups)) . Group) = Student);5;(all ref0:(one Class)|((((ref0 . (Class <: Groups)) . Group) & Student) = Student));5
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|(((ref1 -> ref0) in (Person <: Teaches)) => (some ref2:(one Group),ref3:(one Person)|((ref0 -> (ref3 -> ref2)) in (Class <: Groups))))));5;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));17
this/inv10;(all ref0:(one Class),ref1:(one Student)|(one (ref1 . (ref0 . (Class <: Groups)))));5;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));6
this/inv12;((~ (((Class <: Groups) . Group) :> Teacher)) in (Person <: Teaches));5;(Teacher in ((((Person <: Teaches) . (Class <: Groups)) . Group) . Person));9
this/inv4;((no Student) && (no Teacher));4;((Person - Student) in Teacher);6
this/inv4;(all ref0:(one Person)|(ref0 !in (Student + Teacher)));4;(all ref0:(one Person)|(ref0 in (Student + Teacher)));4
this/inv4;(some (Student + Teacher));4;(Person = (Student + Teacher));3
this/inv4;((Person in Student) || (Person in Teacher));4;(all ref0:(one Person)|((ref0 in Student) || (ref0 in Teacher)));5
this/inv5;(all ref0:(one Class)|(some ((Person <: Teaches) . ref0)));4;(some (Teacher . (Person <: Teaches)));3
this/inv13;((((Person <: Tutors) . Student) in Teacher) && ((Teacher . (Person <: Tutors)) in Student));4;((((Person <: Tutors) . Person) in Teacher) && ((Teacher . (Person <: Tutors)) in Student));2
this/inv3;(all ref0:(one Person)|((ref0 !in Teacher) && (ref0 in Student)));4;(all ref0:(one Student)|(ref0 !in Teacher));6
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Group)|((ref0 . (Person <: Tutors)) in (ref1 . (~ (Class . (Class <: Groups)))))));4;(all ref0:(one Teacher)|(some ref1:(one (ref0 . (Person <: Teaches)))|(some (ref1 . (Class <: Groups)))));12
this/inv6;((Teacher . (Person <: Teaches)) in Class);4;(Teacher in ((Person <: Teaches) . Class));2
this/inv10;(all ref0:(one Class),ref1:(one Person)|(one ref2:(one Group)|((ref1 in Student) => ((ref1 -> ref2) in (ref0 . (Class <: Groups))))));4;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));10
this/inv9;(all ref0:(one Class)|(some ((Person <: Teaches) . ref0)));4;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));6
this/inv11;(all ref0:(one Class),ref1:(one Teacher)|(((ref1 -> ref0) !in (Person <: Teaches)) => (no (ref0 . (Class <: Groups)))));4;(all ref0:(one Class)|((no ((ref0 . (~ (Person <: Teaches))) :> Teacher)) => (no (ref0 . (Class <: Groups)))));11
this/inv10;(all ref0:(one Class),ref1:(one Student)|(one ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));4;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));6
this/inv10;(all ref0:(one Class),ref1:(one Student)|(ref1 in ((ref0 . (Class <: Groups)) . Person)));4;(all ref0:(one Class),ref1:(one Student)|(ref1 in ((ref0 . (Class <: Groups)) . Group)));6
this/inv10;(all ref0:(one Class)|((Student . (ref0 . (Class <: Groups))) in Group));4;(all ref0:(one Class)|(Student in ((ref0 . (Class <: Groups)) . Group)));4
this/inv11;(all ref0:(one Class)|(some ((ref0 . (Class <: Groups)) . (Teacher . (Person <: Teaches)))));4;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (ref0 in (Teacher . (Person <: Teaches)))));8
this/inv5;(some ref0:(one Class),ref1:(one Teacher)|(some (ref0 -> ref1)));3;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));7
this/inv3;(Person = (Student + Teacher));3;(Student = (Student - Teacher));4
this/inv4;(all ref0:(one Person)|((ref0 !in Student) || (ref0 !in Teacher)));3;(no ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));4
this/inv9;(all ref0:(one Class)|(lone (ref0 . (~ (Person <: Teaches)))));3;(all ref0:(one Class)|(lone ((ref0 . (~ (Person <: Teaches))) & Teacher)));4
this/inv5;(all ref0:(one Teacher)|(lone (ref0 . (Person <: Teaches))));3;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));4
this/inv4;((no (Person & Student)) && (no (Person & Teacher)));3;((Person - Student) in Teacher);8
this/inv6;(all ref0:(one Class),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)));3;(all ref0:(one Teacher)|(some ref1:(one Class)|(ref1 in (ref0 . (Person <: Teaches)))));6
this/inv10;(all ref0:(one Class),ref1:(one ((ref0 . (Class <: Groups)) . Student))|((# (ref1 . (Class <: Groups))) > 0));3;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));10
this/inv5;(all ref0:(one Class)|(some (ref0 . (Person <: Teaches))));3;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));2
this/inv9;(all ref0:(one Teacher)|(lone (ref0 . (Person <: Teaches))));3;(all ref0:(one Class)|(lone ((ref0 . (~ (Person <: Teaches))) & Teacher)));5
this/inv13;(all ref0:(one Student),ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Tutors)));3;((Person <: Tutors) in (Teacher -> Student));8
this/inv9;(all ref0:(one Class)|(one (((Person <: Teaches) . ref0) & Teacher)));3;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));4
this/inv12;(all ref0:(one Group),ref1:(one Teacher)|((ref1 . (Person <: Tutors)) in (ref0 . (~ (Class . (Class <: Groups))))));3;(Teacher in ((((Person <: Teaches) . (Class <: Groups)) . Group) . Person));13
this/inv9;(all ref0:(one Class)|(lone (Teacher -> ref0)));3;(all ref0:(one Class)|(lone ((Person <: Teaches) & (Teacher -> ref0))));4
this/inv12;(all ref0:(one Teacher)|(some (ref0 . (Person <: Tutors))));3;(all ref0:(one Teacher)|(some ((ref0 <: (Person <: Teaches)) . (Class <: Groups))));6
this/inv14;(all ref0:(one Class)|(((ref0 . (Class <: Groups)) . Group) in (((Person <: Teaches) . ref0) . (Person <: Tutors))));3;(all ref0:(one Class),ref1:(one Student)|((ref1 in ((ref0 . (Class <: Groups)) . Group)) => ((((Person <: Teaches) . ref0) & Teacher) in ((Person <: Tutors) . ref1))));13
this/inv12;(some ((Teacher . (Person <: Teaches)) . (Class <: Groups)));3;(all ref0:(one Teacher)|(some ((ref0 . (Person <: Teaches)) . (Class <: Groups))));3
this/inv10;(all ref0:(one Student)|(one (ref0 . (Class <: Groups))));3;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));7
this/inv10;(all ref0:(one Class),ref1:(one Group),ref2:(one Student)|((ref2 -> ref1) in (ref0 . (Class <: Groups))));3;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));8
this/inv9;(((Teacher <: (Person <: Teaches)) . (~ (Person <: Teaches))) in iden);3;(((Teacher <: (Person <: Teaches)) . (~ (Teacher <: (Person <: Teaches)))) in iden);2
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|(((ref1 -> ref0) !in (Person <: Teaches)) => (no (ref0 . (Class <: Groups))))));3;(all ref0:(one Class)|((no ((ref0 . (~ (Person <: Teaches))) :> Teacher)) => (no (ref0 . (Class <: Groups)))));11
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|(((ref1 -> ref0) !in (Person <: Teaches)) => (some ref2:(one Group),ref3:(one Person)|((ref0 -> (ref3 -> ref2)) !in (Class <: Groups))))));3;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));19
this/inv11;(all ref0:(one Class)|((some (Person . (ref0 . (Class <: Groups)))) => (some ((Person <: Teaches) . ref0))));3;(all ref0:(one Class)|((some (Person . (ref0 . (Class <: Groups)))) => (some (((Person <: Teaches) . ref0) & Teacher))));4
this/inv10;(all ref0:(one Student)|(some ref1:(one Group)|(no ((Class <: Groups) . (ref0 -> ref1)))));3;((Class -> Student) in ((Class <: Groups) . Group));11
this/inv10;(iden in ((~ (Student <: (Class . (Class <: Groups)))) . (Student <: (Class . (Class <: Groups)))));3;((Class -> Student) in ((Class <: Groups) . Group));11
this/inv10;(all ref0:(one Class)|((Student -> Group) in (ref0 . (Class <: Groups))));3;((Class -> Student) in ((Class <: Groups) . Group));5
this/inv6;(((Person <: Teaches) . Teacher) = Teacher);3;((((Person <: Teaches) . Class) & Teacher) = Teacher);4
this/inv14;(all ref0:(one Class),ref1:(one Student)|(((some ((Person <: Teaches) . ref0)) && (some (ref1 . (ref0 . (Class <: Groups))))) => (((Person <: Tutors) . ref1) in (((Person <: Teaches) . ref0) & Teacher))));3;(all ref0:(one Class),ref1:(one Student)|((some (ref1 . (ref0 . (Class <: Groups)))) => ((((Person <: Teaches) . ref0) & Teacher) in ((Person <: Tutors) . ref1))));15
this/inv12;(all ref0:(one Teacher)|(some ref1:(one Class),ref2:(one Group)|((ref1 -> (ref0 -> ref2)) in (Class <: Groups))));3;(all ref0:(one Teacher)|(some ref1:(one (ref0 . (Person <: Teaches)))|(some (ref1 . (Class <: Groups)))));12
this/inv12;(all ref0:(one Teacher)|(some (ref0 . (Class <: Groups))));3;(all ref0:(one Teacher)|(some ((ref0 <: (Person <: Teaches)) . (Class <: Groups))));4
this/inv11;(all ref0:(one Class)|((no (Teacher <: ((Person <: Teaches) . ref0))) => (no ((Class <: Groups) & (ref0 -> (Student -> Group))))));3;(all ref0:(one Class)|((no ((Teacher <: (Person <: Teaches)) . ref0)) => (no (ref0 . (Class <: Groups)))));14
this/inv12;(all ref0:(one Teacher)|(some (ref0 <: (Class . (Class <: Groups)))));3;(all ref0:(one Teacher)|(some (ref0 <: ((Person <: Teaches) . (Class <: Groups)))));4
this/inv10;((((Class . (Class <: Groups)) . Group) & Student) = Student);3;(all ref0:(one Class)|((((ref0 . (Class <: Groups)) . Group) & Student) = Student));3
this/inv10;(all ref0:(one Class)|(((ref0 . (Class <: Groups)) . Group) = Student));3;(all ref0:(one Class)|((((ref0 . (Class <: Groups)) . Group) & Student) = Student));4
this/inv10;(no ((Class <: Groups) . Group));3;((Class -> Student) in ((Class <: Groups) . Group));5
this/inv10;(((Class <: Groups) . Group) = (Class -> Person));3;((Class -> Student) in ((Class <: Groups) . Group));8
this/inv6;(Class in (Teacher . (Person <: Teaches)));3;(Teacher in ((Person <: Teaches) . Class));4
this/inv10;(all ref0:(one Class),ref1:(one Student)|(some ((ref0 -> ref1) . (Class <: Groups))));3;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));8
this/inv11;(all ref0:(one Class)|(some ref1:(one Teacher)|((some ((ref0 . (Class <: Groups)) . Group)) => ((ref1 -> ref0) in (Person <: Teaches)))));3;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some ref1:(one Teacher)|((ref1 -> ref0) in (Person <: Teaches)))));6
this/inv10;(all ref0:(one Class),ref1:(one Student)|(some (ref0 . (Class <: Groups))));3;(all ref0:(one Class),ref1:(one Student)|(some (ref1 . (ref0 . (Class <: Groups)))));6
this/inv2;(Person = Student);2;(none = Teacher);4
this/inv14;(all ref0:(one Student)|(some (ref0 . (Class . (Class <: Groups)))));2;(all ref0:(one Class)|(((((Person <: Teaches) . ref0) & Teacher) -> (((ref0 . (Class <: Groups)) . Group) & Student)) in (Person <: Tutors)));17
this/inv14;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(some (ref1 . (ref0 . (Class <: Groups)))));2;(all ref0:(one Class),ref1:(one Student)|((some (ref1 . (ref0 . (Class <: Groups)))) => ((((Person <: Teaches) . ref0) & Teacher) in ((Person <: Tutors) . ref1))));15
this/inv9;(((~ ((Person <: Teaches) :> Class)) . ((Person <: Teaches) :> Class)) in iden);2;(((Teacher <: (Person <: Teaches)) . ((~ (Person <: Teaches)) :> Teacher)) in iden);8
this/inv6;(no ref0:(one Teacher)|((ref0 . (Person <: Teaches)) !in Class));2;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));5
this/inv14;(all ref0:(one Student)|(((some (ref0 . (Class . (Class <: Groups)))) && (some (Teacher <: (Person <: Teaches)))) => (some ((Teacher <: (Person <: Tutors)) . ref0))));2;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(((some (ref1 . (ref0 . (Class <: Groups)))) && (some ((ref2 <: (Person <: Teaches)) . ref0))) => (some ((ref2 <: (Person <: Tutors)) . ref1))));16
this/inv5;(all ref0:(one Student)|(no (ref0 . (Person <: Teaches))));2;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));4
this/inv5;(some ref0:(one Class)|(some (ref0 . (Person <: Teaches))));2;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));2
this/inv11;(all ref0:(one Class)|(some (((Person <: Teaches) . ref0) + (Person - ((ref0 . (Class <: Groups)) . Group)))));2;(all ref0:(one Class)|((no ((Teacher <: (Person <: Teaches)) . ref0)) => (no (ref0 . (Class <: Groups)))));13
this/inv14;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|((some (ref1 . (ref0 . (Class <: Groups)))) && (some (ref2 . (Person <: Teaches)))));2;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(((some (ref1 . (ref0 . (Class <: Groups)))) && (some ((ref2 <: (Person <: Teaches)) . ref0))) => (some ((ref2 <: (Person <: Tutors)) . ref1))));15
this/inv7;(some (Class . (~ (Person <: Teaches))));2;(Class in ((~ (Person <: Teaches)) . Teacher));5
this/inv11;(all ref0:(one Class)|(some ((((Person <: Teaches) . ref0) & Teacher) + (Student - ((ref0 . (Class <: Groups)) . Group)))));2;(all ref0:(one Class)|((no ((Teacher <: (Person <: Teaches)) . ref0)) => (no (ref0 . (Class <: Groups)))));15
this/inv14;(all ref0:(one Class),ref1:(one Person),ref2:(one Person)|((some (ref1 . (ref0 . (Class <: Groups)))) && (some ((ref2 <: (Person <: Teaches)) . ref0))));2;(all ref0:(one Class),ref1:(one Student),ref2:(one Teacher)|(((some (ref1 . (ref0 . (Class <: Groups)))) && (some ((ref2 <: (Person <: Teaches)) . ref0))) => (some ((ref2 <: (Person <: Tutors)) . ref1))));13
this/inv4;(Person = ((Person - Teacher) - Student));2;((Person - Teacher) in Student);4
this/inv5;(some (Teacher -> Group));2;(some (Teacher <: (Person <: Teaches)));4
this/inv6;(iden in ((~ (Person <: Teaches)) . (Person <: Teaches)));2;(Teacher in (Class . (~ (Person <: Teaches))));4
this/inv3;(no (Person & Student));2;(no (Person & (Student & Teacher)));2
this/inv4;(no ((Person & Student) & Teacher));2;(no ((Person - Student) - Teacher));4
this/inv14;(all ref0:(one Class),ref1:(one Group),ref2:(one Person),ref3:(one Teacher)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));2;(all ref0:(one Class),ref1:(one Group),ref2:(one Student),ref3:(one Teacher)|((((ref0 -> (ref2 -> ref1)) in (Class <: Groups)) && ((ref3 -> ref0) in (Person <: Teaches))) => ((ref3 -> ref2) in (Person <: Tutors))));8
this/inv6;(Teacher in ((Person <: Teaches) . Teacher));2;(Teacher in ((Person <: Teaches) . Class));2
this/inv9;(all ref0:(one Teacher)|(one ((((Class <: Groups) . Group) . Teacher) & ref0)));2;(all ref0:(one Class)|(lone (((Person <: Teaches) . ref0) & Teacher)));10
this/inv6;(Teacher in ((~ (Person <: Teaches)) . Teacher));2;(Teacher in (Class . (~ (Person <: Teaches))));2
this/inv4;(! ((no (Person & Student)) && (no (Person & Teacher))));2;((Person - Student) in Teacher);9
this/inv5;(all ref0:(one Class)|(((Person <: Teaches) . ref0) in Teacher));2;(some ref0:(one Class)|(ref0 in (Teacher . (Person <: Teaches))));6
this/inv9;(all ref0:(one Teacher)|(one (ref0 . (Person <: Teaches))));2;(all ref0:(one Class)|(lone ((ref0 . (~ (Person <: Teaches))) & Teacher)));7
this/inv3;(all ref0:(one Person)|(((ref0 !in Student) && (ref0 in Teacher)) || ((ref0 !in Teacher) && (ref0 in Student))));2;(all ref0:(one Person)|(((ref0 !in Student) && (ref0 in Teacher)) || ((ref0 !in Teacher) && (ref0 in Student)) || (ref0 !in (Student + Teacher))));7
this/inv5;(all ref0:(one Teacher)|(some (ref0 . (Person <: Tutors))));2;(some ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));4
this/inv6;(((~ (Person <: Teaches)) . (Person <: Teaches)) in iden);2;(Teacher in (Class . (~ (Person <: Teaches))));4
this/inv4;(Person in (Student & Teacher));2;((Person - Student) in Teacher);2
this/inv4;(some (Person + Student));2;((Person - Student) in Teacher);5
this/inv5;(some (Class . (Person <: Teaches)));2;(some (Teacher . (Person <: Teaches)));2
this/inv11;(all ref0:(one Class)|(((# (((Person <: Teaches) . ref0) & Teacher)) > 0) && ((# (ref0 . (Class <: Groups))) > 0)));2;(all ref0:(one Class)|((no ((Teacher <: (Person <: Teaches)) . ref0)) => (no (ref0 . (Class <: Groups)))));16
this/inv6;(all ref0:(one Teacher)|(one (ref0 . (Person <: Teaches))));2;(all ref0:(one Teacher)|(some (ref0 . (Person <: Teaches))));4
this/inv5;(((Person <: Teaches) . Teacher) in Class);2;(some ref0:(one Class)|(ref0 in (Teacher . (Person <: Teaches))));5
this/inv10;(all ref0:(one Class),ref1:(one Student)|((ref1 -> Group) in (ref0 . (Class <: Groups))));2;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));7
this/inv12;(all ref0:(one Teacher)|(some ((Class . (Class <: Groups)) -> ref0)));2;(all ref0:(one Teacher)|(some ref1:(one (ref0 . (Person <: Teaches)))|(some (ref1 . (Class <: Groups)))));7
this/inv12;(all ref0:(one Teacher)|((# ((Class . (Class <: Groups)) -> ref0)) > 0));2;(all ref0:(one Teacher)|(some ref1:(one (ref0 . (Person <: Teaches)))|(some (ref1 . (Class <: Groups)))));11
this/inv4;(all ref0:(one Person)|((no (ref0 . (Person <: Teaches))) && (no (ref0 . (Person <: Tutors))) && (ref0 !in (Student + Teacher))));2;(no ref0:(one Person)|((ref0 !in Student) && (ref0 !in Teacher)));13
this/inv11;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some (Teacher -> ref0))));2;(all ref0:(one Class)|((some (ref0 . (Class <: Groups))) => (some (Teacher <: ((Person <: Teaches) . ref0)))));6
this/inv9;(all ref0:(one Class)|(Teacher in ((Person <: Teaches) . ref0)));2;(all ref0:(one Class)|(lone (Teacher :> ((Person <: Teaches) . ref0))));5
this/inv10;(all ref0:(one Class)|(one ref1:(one Group),ref2:(one Student)|((ref2 -> ref1) in (ref0 . (Class <: Groups)))));2;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));8
this/inv14;(all ref0:(one Class)|(some ((ref0 . (Class <: Groups)) . Group)));2;(all ref0:(one Class)|(((((Person <: Teaches) . ref0) & Teacher) -> (((ref0 . (Class <: Groups)) . Group) & Student)) in (Person <: Tutors)));13
this/inv10;(all ref0:(one Class),ref1:(one Group),ref2:(one Person)|((ref2 in Student) => ((ref2 -> ref1) in (ref0 . (Class <: Groups)))));2;(all ref0:(one Class),ref1:(one Student)|(some ref2:(one Group)|((ref1 -> ref2) in (ref0 . (Class <: Groups)))));12
